time,demand,supply
776,0.360,-0.003
777,0.332,0.020
778,0.329,0.316
779,0.336,1.187
780,0.434,2.360
781,0.410,3.073
782,0.367,3.245
783,0.363,3.147
784,0.363,2.125
785,0.376,1.603
786,0.342,0.579
787,0.332,0.083
788,0.338,-0.004
789,0.358,-0.003
790,0.352,-0.003
791,0.350,-0.004
792,0.322,-0.004
793,0.327,-0.004
794,0.344,-0.004
795,0.328,-0.004
796,0.315,-0.004
797,0.303,-0.004
798,0.326,-0.004
799,0.339,-0.003
800,0.337,-0.003
801,0.323,-0.003
802,0.317,0.014
803,0.351,0.114
804,0.348,0.231
805,0.314,0.433
806,0.336,0.429
807,0.344,0.290
808,0.349,0.221
809,0.321,0.349
810,0.338,0.283
811,0.330,0.036
812,0.455,-0.003
813,0.356,-0.004
814,0.339,-0.004
815,0.351,-0.004
816,0.325,-0.004
817,0.317,-0.003
818,0.323,-0.003
819,0.319,-0.003
820,0.290,-0.004
821,0.330,-0.003
822,0.333,-0.003
823,0.293,-0.004
824,0.337,-0.003
825,0.320,0.091
826,0.341,0.354
827,0.352,0.380
828,0.313,0.503
829,0.349,0.948
830,0.348,1.074
831,0.336,0.991
832,0.356,0.596
833,0.344,0.504
834,0.309,0.259
835,0.341,0.034
836,0.370,-0.003
837,0.339,-0.004
838,0.328,-0.004
839,0.347,-0.004
840,0.339,-0.003
841,0.327,-0.004
842,0.305,-0.004
843,0.321,-0.004
844,0.324,-0.004
845,0.410,-0.003
846,0.360,-0.003
847,0.305,-0.004
848,0.328,-0.004
849,0.349,-0.003
850,0.352,0.078
851,0.305,0.400
852,0.342,0.718
853,0.342,0.954
854,0.336,1.154
855,0.356,1.189
856,0.346,1.101
857,0.314,0.928
858,0.361,0.374
859,0.463,0.077
860,0.319,-0.004
861,0.349,-0.004
862,0.359,-0.003
863,0.334,-0.004
864,0.323,-0.004
865,0.310,-0.004
866,0.306,-0.004
867,0.340,-0.003
868,0.303,-0.004
869,0.323,-0.004
870,0.303,-0.004
871,0.306,-0.004
872,0.354,-0.003
873,0.318,0.025
874,0.336,0.313
875,0.312,0.778
876,0.351,1.482
877,0.352,2.986
878,0.372,4.028
879,0.343,4.257
880,0.474,4.191
881,0.343,3.292
882,0.393,0.846
883,0.305,0.108
884,0.341,-0.003
885,0.345,-0.004
886,0.349,-0.004
887,0.341,-0.004
888,0.323,-0.004
889,0.319,-0.004
890,0.298,-0.004
891,0.336,-0.003
892,0.328,-0.004
893,0.307,-0.004
894,0.305,-0.004
895,0.326,-0.003
896,0.339,-0.003
897,0.323,0.032
898,0.339,0.362
899,0.314,0.975
900,0.372,2.458
901,0.365,3.537
902,0.360,4.083
903,0.367,4.294
904,0.352,4.184
905,0.360,3.322
906,0.363,0.857
907,0.337,0.091
908,0.347,-0.003
909,0.335,-0.004
910,0.358,-0.004
911,0.349,-0.003
912,0.323,-0.003
913,0.405,-0.003
914,0.322,-0.004
915,0.347,-0.003
916,0.325,-0.003
917,0.335,-0.003
918,0.317,-0.004
919,0.330,-0.003
920,0.339,-0.003
921,0.338,-0.002
922,0.333,0.151
923,0.351,0.580
924,0.369,1.568
925,0.359,3.164
926,0.365,3.957
927,0.364,4.114
928,0.384,3.991
929,0.372,3.126
930,0.345,0.857
931,0.336,0.124
932,0.361,-0.003
933,0.369,-0.003
934,0.350,-0.003
935,0.350,-0.003
936,0.345,-0.003
937,0.340,-0.003
938,0.326,-0.004
939,0.326,-0.004
940,0.336,-0.004
941,0.349,-0.003
942,0.380,-0.003
943,0.346,-0.003
944,0.360,-0.003
945,0.365,0.028
946,0.345,0.359
947,0.351,1.452
948,0.367,2.564
949,0.399,3.303
950,0.376,3.755
951,0.370,3.955
952,0.380,3.893
953,0.404,3.222
954,0.365,0.843
955,0.350,0.074
956,0.356,-0.002
957,0.373,-0.003
958,0.355,-0.004
959,0.352,-0.003
960,0.357,-0.003
961,0.346,-0.003
962,0.336,-0.004
963,0.340,-0.004
964,0.350,-0.003
965,0.331,-0.004
966,0.324,-0.004
967,0.331,-0.004
968,0.364,-0.003
969,0.337,0.029
970,0.412,0.363
971,0.373,1.459
972,0.397,2.583
973,0.386,3.418
974,0.381,3.946
975,0.380,4.138
976,0.405,4.043
977,0.385,3.379
978,0.349,0.930
979,0.340,0.085
980,0.371,-0.002
981,0.366,-0.003
982,0.355,-0.003
983,0.364,-0.003
984,0.367,-0.003
985,0.344,-0.003
986,0.327,-0.004
987,0.340,-0.004
988,0.348,-0.003
989,0.331,-0.004
990,0.325,-0.004
991,0.332,-0.004
992,0.368,-0.003
993,0.340,0.018
994,0.339,0.329
995,0.351,1.484
996,0.394,2.579
997,0.461,3.190
998,0.485,3.701
999,0.424,3.715
1000,0.422,3.943
1001,0.374,3.426
1002,0.358,0.947
1003,0.350,0.089
1004,0.374,-0.002
1005,0.362,-0.003
1006,0.351,-0.003
1007,0.358,-0.003
1008,0.352,-0.003
1009,0.340,-0.004
1010,0.336,-0.004
1011,0.345,-0.003
1012,0.358,-0.003
1013,0.327,-0.004
1014,0.326,-0.004
1015,0.336,-0.004
1016,0.362,-0.003
1017,0.338,0.044
1018,0.342,0.470
1019,0.355,1.456
1020,0.389,2.541
1021,0.369,3.417
1022,0.370,3.935
1023,0.373,4.037
1024,0.396,3.798
1025,0.378,3.212
1026,0.417,1.078
1027,0.382,0.203
1028,0.376,-0.000
1029,0.369,-0.003
1030,0.349,-0.003
1031,0.348,-0.003
1032,0.353,-0.003
1033,0.332,-0.004
1034,0.335,-0.004
1035,0.322,-0.004
1036,0.343,-0.003
1037,0.336,-0.004
1038,0.322,-0.004
1039,0.320,-0.004
1040,0.342,-0.003
1041,0.360,0.046
1042,0.344,0.417
1043,0.349,1.413
1044,0.356,2.476
1045,0.371,3.295
1046,0.385,3.761
1047,0.360,3.009
1048,0.364,3.584
1049,0.368,3.401
1050,0.378,1.137
1051,0.349,0.247
1052,0.350,0.007
1053,0.354,-0.003
1054,0.371,-0.003
1055,0.375,-0.003
1056,0.417,-0.003
1057,0.339,-0.003
1058,0.339,-0.004
1059,0.351,-0.003
1060,0.328,-0.004
1061,0.326,-0.004
1062,0.324,-0.004
1063,0.345,-0.003
1064,0.349,-0.003
1065,0.336,0.079
1066,0.341,0.471
1067,0.359,1.376
1068,0.382,2.420
